Index_1,Index_2,Index_3,mtr
0.5,1.5,-1,-0.2932255993902537
0.5,1.5,-0.8,-0.41206381132015246
0.5,1.5,-0.6,-0.28084300472587675
0.5,1.5,-0.3999999999999999,-0.16977139554637977
0.5,1.5,-0.19999999999999996,-0.07697559448023483
0.5,1.5,0,-1.474974775650395e-07
0.5,1.5,0.20000000000000018,0.07089327671131329
0.5,1.5,0.40000000000000013,0.1381079387228712
0.5,1.5,0.6000000000000001,0.19889701673102422
0.5,1.5,0.8,0.25232281437489834
0.5,1.5,1,0.2984369481306235
0.5,1.5,1.2000000000000002,0.3377916524096306
0.5,1.5,1.4000000000000004,0.3711424977301302
0.5,1.5,1.6,0.39928256227639625
0.5,1.5,1.8000000000000003,0.4229598917520354
0.5,1.5,2,0.44284312495182376
0.5,3,-1,-0.35798235279263757
0.5,3,-0.8,-0.2759951963425875
0.5,3,-0.6,-0.20393025696860434
0.5,3,-0.3999999999999999,-0.13871101365487792
0.5,3,-0.19999999999999996,-0.07527038937629804
0.5,3,0,-7.231374277161251e-08
0.5,3,0.20000000000000018,0.08736055159919132
0.5,3,0.40000000000000013,0.17298206809582672
0.5,3,0.6000000000000001,0.25115358624565376
0.5,3,0.8,0.319853841295909
0.5,3,1,0.3789338997632299
0.5,3,1.2000000000000002,0.4291591519448891
0.5,3,1.4000000000000004,0.47164367767961535
0.5,3,1.6,0.5075473268120052
0.5,3,1.8000000000000003,0.5379357764941386
0.5,3,2,0.5637306957152146
0.5,6,-1,-0.17938408058012056
0.5,6,-0.8,-0.15696561929893083
0.5,6,-0.6,-0.13464878070712882
0.5,6,-0.3999999999999999,-0.1105641837045328
0.5,6,-0.19999999999999996,-0.07759834941391586
0.5,6,0,-1.5993493263088965e-07
0.5,6,0.20000000000000018,0.10921917631694533
0.5,6,0.40000000000000013,0.22024137794500176
0.5,6,0.6000000000000001,0.3218955689558256
0.5,6,0.8,0.40946228354569536
0.5,6,1,0.48223771105452007
0.5,6,1.2000000000000002,0.54163150117782
0.5,6,1.4000000000000004,0.5898047991735951
0.5,6,1.6,0.6289270970469134
0.5,6,1.8000000000000003,0.6608742998858699
0.5,6,2,0.6871614630453364
1,1.5,-1,-0.9167107433568435
1,1.5,-0.8,-0.6785889098431626
1,1.5,-0.6,-0.4692435316403458
1,1.5,-0.3999999999999999,-0.2873012394479193
1,1.5,-0.19999999999999996,-0.13140822274092123
1,1.5,0,-1.2967219986670386e-07
1,1.5,0.20000000000000018,0.11047510254922155
1,1.5,0.40000000000000013,0.20521020203542284
1,1.5,0.6000000000000001,0.28626900053880344
1,1.5,0.8,0.35462190934912763
1,1.5,1,0.4114555335908068
1,1.5,1.2000000000000002,0.45820231063501815
1,1.5,1.4000000000000004,0.49636010953537646
1,1.5,1.6,0.527342881200453
1,1.5,1.8000000000000003,0.5524021983010263
1,1.5,2,0.5726033793774324
1,3,-1,-0.881644886449547
1,3,-0.8,-0.6307619701040521
1,3,-0.6,-0.42932700127883283
1,3,-0.3999999999999999,-0.2658791170559165
1,3,-0.19999999999999996,-0.12814072616230732
1,3,0,-6.981580691345357e-08
1,3,0.20000000000000018,0.12654279926393974
1,3,0.40000000000000013,0.24399966791394712
1,3,0.6000000000000001,0.34646927941625805
1,3,0.8,0.4319751421954533
1,3,1,0.5012522030708189
1,3,1.2000000000000002,0.5564431074210694
1,3,1.4000000000000004,0.6000911979872482
1,3,1.6,0.634574589005338
1,3,1.8000000000000003,0.6618860717477095
1,3,2,0.6836055545856458
1,6,-1,-0.36609844004515346
1,6,-0.8,-0.2947964640870522
1,6,-0.6,-0.23290602421127926
1,6,-0.3999999999999999,-0.17501942855142882
1,6,-0.19999999999999996,-0.1087507647731536
1,6,0,-3.6232527422797034e-08
1,6,0.20000000000000018,0.14158393299604777
1,6,0.40000000000000013,0.2845515990392278
1,6,0.6000000000000001,0.4126586349942972
1,6,0.8,0.518065585498952
1,6,1,0.5998558592610939
1,6,1.2000000000000002,0.6613185266145352
1,6,1.4000000000000004,0.7070347370189769
1,6,1.6,0.7411690297967167
1,6,1.8000000000000003,0.7669352870606786
1,6,2,0.786645251116224
2,1.5,-1,-1.1393587607016835
2,1.5,-0.8,-0.8642903384844409
2,1.5,-0.6,-0.7057762604283024
2,1.5,-0.3999999999999999,-0.6506677060322286
2,1.5,-0.19999999999999996,-0.18496970375368615
2,1.5,0,-0.00017206689846616108
2,1.5,0.20000000000000018,0.1554444834818024
2,1.5,0.40000000000000013,0.2833537601432712
2,1.5,0.6000000000000001,0.38787356483073787
2,1.5,0.8,0.47082122867749965
2,1.5,1,0.5368544610292165
2,1.5,1.2000000000000002,0.5885614619370949
2,1.5,1.4000000000000004,0.6287897859911258
2,1.5,1.6,0.6599887655689667
2,1.5,1.8000000000000003,0.6841191860549969
2,1.5,2,0.7027396990168521
2,3,-1,-3.355519639944573
2,3,-0.8,0.9990690658930477
2,3,-0.6,0.9688940189549285
2,3,-0.3999999999999999,-0.5292250963225005
2,3,-0.19999999999999996,-0.22692969898204995
2,3,0,-1.1701857414170291e-05
2,3,0.20000000000000018,0.1843533762081936
2,3,0.40000000000000013,0.33865360826792057
2,3,0.6000000000000001,0.46284300955611235
2,3,0.8,0.5713654953757671
2,3,1,0.6432799418344426
2,3,1.2000000000000002,0.6818114397115516
2,3,1.4000000000000004,0.7205436452030198
2,3,1.6,0.749449514521275
2,3,1.8000000000000003,0.9627399048504104
2,3,2,0.786217793083034
2,6,-1,0.9341940081580388
2,6,-0.8,-0.4455894957443163
2,6,-0.6,0.22754647905088554
2,6,-0.3999999999999999,-0.32286578844179026
2,6,-0.19999999999999996,-0.167749495467032
2,6,0,-3.289256755856229e-08
2,6,0.20000000000000018,0.1825707997509024
2,6,0.40000000000000013,0.3571834734394008
2,6,0.6000000000000001,0.5076302744046762
2,6,0.8,0.624949520271336
2,6,1,0.708829070255226
2,6,1.2000000000000002,0.7656295313848074
2,6,1.4000000000000004,0.8034347079821704
2,6,1.6,0.8287745085882539
2,6,1.8000000000000003,0.8460287418799954
2,6,2,0.8579497572708352
